"Geographic Area Name (NAME)","2012 NAICS code (NAICS2012)","Meaning of NAICS code (NAICS2012_LABEL)","2017 NAICS bridge code (NAICS2017BDG)","Meaning of NAICS bridge code (NAICS2017BDG_LABEL)","Year (YEAR)","Number of establishments (ESTAB)","Sales, value of shipments, or revenue ($1,000) (RCPTOT)","Annual payroll ($1,000) (PAYANN)","Number of employees (EMP)"
"United States","532291","Home health equipment rental","00000000","Industry total","2017","2,755","4,080,431","1,231,862","28,548"
"United States","532291","Home health equipment rental","53228300","Home health equipment rental","2017","2,755","4,080,431","1,231,862","28,548"
"United States","532292","Recreational goods rental","00000000","Industry total","2017","2,327","1,384,952","350,307","11,870"
"United States","532292","Recreational goods rental","53228400","Recreational goods rental","2017","2,327","1,384,952","350,307","11,870"
"United States","532299","All other consumer goods rental","00000000","Industry total","2017","4,850","5,226,480","1,627,744","45,368"
"United States","532299","All other consumer goods rental","53228900","All other consumer goods rental","2017","4,850","5,226,480","1,627,744","45,368"
"United States","541711","Research and development in biotechnology","00000000","Industry total","2017","3,840","27,906,282","16,511,322","108,157"
"United States","541711","Research and development in biotechnology","54171310","Research and development in nanobiotechnology","2017","686","3,346,468","2,101,441","12,644"
"United States","541711","Research and development in biotechnology","54171400","Research and development in biotechnology (except nanobiotechnology)","2017","3,154","24,559,814","14,409,881","95,513"
"United States","541712","Research and development in the physical, engineering, and life sciences (except biotechnology)","00000000","Industry total","2017","12,937","125,407,167","70,667,624","639,959"
"United States","541712","Research and development in the physical, engineering, and life sciences (except biotechnology)","54171320","Research and development in the physical and engineering sciences, nanotechnology","2017","1,948","21,715,158","11,111,531","105,110"
"United States","541712","Research and development in the physical, engineering, and life sciences (except biotechnology)","54171330","Research and development in the life sciences, nanotechnology","2017","1,741","9,587,366","4,847,095","46,900"
"United States","541712","Research and development in the physical, engineering, and life sciences (except biotechnology)","54171510","Research and development in the physical and engineering sciences, except nanotechnology","2017","4,415","43,329,242","30,969,517","268,731"
"United States","541712","Research and development in the physical, engineering, and life sciences (except biotechnology)","54171520","Research and development in the life sciences, except nanotechnology","2017","4,833","50,775,401","23,739,481","219,218"
